,objective,weight,included
0,4.5,5.1,1.0
1,6.4,14.9,0.0
2,3.2,1.1,1.0
3,9.1,3.9,1.0
4,8.3,10.2,0.0
5,5.4,3.2,1.0
6,5.4,4.2,1.0
7,2.5,4.9,0.0
8,8.4,5.8,1.0
9,4.5,17.4,0.0
10,2.9,13.1,0.0
11,6.6,1.8,1.0
12,1.0,10.9,0.0
13,7.6,6.6,1.0
14,0.9,18.7,0.0
15,8.2,10.5,0.0
16,6.9,0.5,1.0
17,3.9,11.3,0.0
18,5.3,14.2,0.0
19,6.1,10.7,0.0
20,3.4,15.7,0.0
21,6.9,9.3,0.0
22,6.3,7.5,0.0
23,6.2,14.0,0.0
24,7.2,8.1,1.0
25,6.2,9.3,0.0
26,6.8,15.4,0.0
27,2.0,12.4,0.0
28,8.2,7.5,1.0
29,6.3,5.1,1.0
30,8.4,13.0,0.0
31,2.4,15.5,0.0
32,2.6,18.2,0.0
33,2.1,8.9,0.0
34,8.7,6.6,1.0
35,2.7,16.3,0.0
36,9.4,8.7,1.0
37,6.9,20.5,0.0
38,5.8,1.4,1.0
39,9.0,18.5,0.0
40,1.5,7.7,0.0
41,7.4,10.9,1.0
42,2.4,0.5,1.0
43,3.2,11.1,0.0
44,3.7,2.0,1.0
45,4.0,11.0,0.0
46,3.9,11.1,0.0
47,0.1,19.1,0.0
48,9.6,19.3,0.0
49,0.2,9.3,0.0
50,6.8,20.0,0.0
51,7.6,11.6,0.0
52,0.1,7.7,0.0
53,6.4,18.4,0.0
54,6.4,11.7,1.0
55,3.2,0.6,1.0
56,2.5,16.1,0.0
57,2.2,16.3,0.0
58,8.8,18.8,0.0
59,2.8,2.3,1.0
60,4.6,13.8,0.0
61,7.6,17.1,0.0
62,2.4,1.2,1.0
63,6.8,8.4,1.0
64,2.3,13.6,0.0
65,9.1,1.3,1.0
66,1.0,11.5,0.0
67,0.7,19.4,0.0
68,1.0,5.6,0.0
69,1.0,9.2,0.0
